hours_studied,attendance_percent,previous_score,assignments_completed,sleep_hours,extracurricular,final_score
2,65,48,5,6,0,51
3,70,52,6,7,0,56
4,72,55,7,7,1,61
5,78,60,8,7,1,67
6,82,65,9,8,1,73
7,85,70,9,8,0,78
8,88,74,10,7,1,83
9,92,80,10,8,1,89
10,95,85,10,8,1,94
1,60,42,4,6,0,45
2,68,50,5,6,1,52
4,75,58,7,6,0,62
5,80,63,8,7,1,69
6,84,68,9,8,0,75
7,90,73,10,8,1,82
8,93,79,10,7,1,87
3,74,57,6,7,0,60
5,86,66,8,8,1,72
7,87,71,9,7,0,79
9,94,83,10,8,1,91
2,62,46,4,6,0,49
4,69,54,6,7,1,59
6,77,62,8,7,0,70
8,89,76,9,8,1,85
10,96,88,10,8,1,96
3,66,49,5,6,0,53
5,79,61,7,7,1,68
7,83,69,9,7,1,77
9,91,81,10,8,0,90
4,81,59,8,8,1,66
